Neuron ID,Label 1,Label 2,Label 3
6,black and white patterns,,
10,red and white patterns,,
17,domestic and natural scenes,indoor and outdoor scenes,domestic settings with natural elements
24,roof and interior design background,thatched roof with bird motif,birds and black/white structures
30,various objects in nature,objects in different contexts,textiles and nature
32,window decor and household items,monochrome interiors,indoor household objects
36,pink and green backgrounds with stripes and squares,pink and black/green backgrounds with people/stripes,pink and black/white patterns
37,black and white patterns,monochrome patterns,
42,pink and red backgrounds,color-themed visuals,pink-themed visuals
45,monochrome and patterns,visual patterns and textures,visual contrast
46,striped clothing and patterns,striped and patterned clothing and surfaces,striped and patterned clothing and decor
47,patterned textiles,patterned textures,patterns and textures
54,blue and aquatic scenes,blue-themed nature,blue and green nature
55,monochrome patterns with metal,monochrome patterns and textures,monochrome patterns
56,geometric patterns and colors,geometric patterns in black and white and red,monochrome and stripes
62,monochromatic interior design,monochrome interiors,office decor
63,striped and colorful patterns,striped patterns,
64,patterns and textures,patterned designs background,patterned designs
71,textured and patterned surfaces,patterned textures,patterned textures and surfaces
76,monochrome patterns,black and white patterns,
77,patterned designs,patterns and textures,black and white patterns
84,black and white patterns,,
98,black and white pattern,monochrome patterns and lighting,geometric decor and fixtures
104,linear patterns,metal and black/white patterns,black and white patterns
109,patterned backgrounds,patterned blue and gray designs,geometric patterns
110,pink-themed patterns,various pink backgrounds,pink-themed designs
120,colorful backgrounds and screens,pink and green scenes,pink-themed visuals
125,striped clothing items,striped patterns,striped clothing and patterns
129,circular table with striped rug,monochrome patterns and textures,monochrome decor elements
132,zebra and metal mesh,zebra and metal motifs,black and white textures
135,black and white patterns,,
150,miscellaneous objects and activities,miscellaneous objects/subjects,miscellaneous items
161,monochrome patterns,repetitive black and white patterns,black and white patterns
164,checkered and colorful patterns,checkered and colored patterns,
169,repeated chevron pattern,black and white chevron patterns,monochrome patterns and perspectives
170,yellow window coverings,window blinds,window blinds and lighting
171,pink and black themes,snake and pink-themed scenes,snake and sky scenes
178,black and white patterns,,
188,metallic architectural elements,metallic structures,metallic structures and textures
189,pink-themed patterns,pink and white patterns,
197,geometric patterns and textures,patterns and textures,metallic patterns and prints
203,monochrome zigzag patterns,repeated chevron pattern,black and white patterns
206,monochrome patterns,black and white patterns,
219,cats and screens with colors,visual effects,indoor and outdoor scenes with animals and screens
230,black and white perforations,black and white perforation,perforated metal and pattern
231,metal mesh variations,metal mesh patterns,metal mesh/grid/grill
232,snow skateboarding,snowboarding and fashion,skateboarding in snow
233,metal mesh and gray chevron pattern,gray and metal textures,gray and metal texture
245,striped patterns,,
247,monochrome geometric patterns,black and white geometric patterns,
