Neuron ID,Label 1,Label 2,Label 3
23,white and brown decor with ants,kitchen and dining themes,food and decor mix
25,checkered patterns,checkerboard patterns,
27,striped patterns,,
42,various patterns and textures,textures and patterns,geometric and natural patterns
48,textured surfaces and patterns,variety of textures and patterns,textured surfaces in various colors
56,green and monochrome patterns,monochrome patterns and activities,monochrome patterns and shapes
58,honeycomb and textiles,honeycomb and fabric patterns,honeycomb and patterns
67,monochrome textures and patterns,black and white patterns,monochrome patterns
78,black and white patterns,,
92,zigzag and chevron patterns,zigzag patterns,zigzag designs
98,various patterns in neutral colors,brown and white patterns,patterns in earth tones
107,interior decor elements,monochrome decor and objects,patterns and objects in rooms
124,metallic and mesh décor,metal mesh designs,metal mesh and wire designs
130,monochrome industrial patterns,black and white industrial design,monochrome industrial design
147,corn-themed imagery,corn-centric imagery,corn imagery
165,yellow-themed visuals,yellow-themed scenes,yellow-themed objects
174,geometric patterns,monochrome and colorful patterns,geometric patterns and bird
188,polka dot and honeycomb patterns,geometric patterns and nature,polka dots and patterns
224,corn and metal textures,corn and metal patterns,corn and metal motifs
236,black and white patterns,monochrome patterns and animals,monochrome patterns
245,textured patterns,textile patterns,textured fabrics and patterns
285,blue and green imagery,green and blue imagery,water and nature scenes
286,monochrome and textured designs,textures and patterns,various backgrounds and textures
295,monochrome and patterned textures,black and white patterns,patterns and textures
296,monochrome and patterned designs,patterned backgrounds,various patterns and colors
297,colorful patterns and activities,summer activities,outdoor activities and patterns
320,black and white interiors,monochrome patterns and textures,monochrome patterns
338,monochrome textures and patterns,textures and patterns,monochrome textures
350,striped patterns,striped patterns in various colors,
355,colorful home decor and accessories,colorful home decor and fashion,fruit and fashion display
358,yellow objects and scenes,yellow-themed objects,yellow objects and nature
361,nature-inspired patterns,nature and metal objects,nature-inspired objects
368,black and white decor,monochrome decor and nature,patterned interiors
379,textures and patterns,textured orange patterns,textures with perforations
389,black and white patterns,monochrome patterns,
393,monochrome visuals,monochrome designs,brown and white visuals
404,black and white patterns,black and white checkers,black and white checkered theme
410,monochrome patterns and colors,monochrome patterns,
411,checkerboard patterns,checkered patterns,
412,colorful polka dot patterns,polka dot patterns in pink and red,polka dots and patterns
418,orange-themed objects,orange-themed objects and scenes,objects and scenes in orange and wood
426,striped and checked patterns in red and yellow,striped and checkered patterns with red and/or green,colorful stripes and patterns
429,black and white patterns,monochrome patterns,
434,patterns and colors,colorful patterns,
443,striped and dotted fabrics in pink and purple,pink and purple patterns,colorful fabric patterns
464,blue and black textures,textures and patterns,textured materials
467,pink and black patterns,,
469,geometric patterns and textures,patterns and textures,
475,geometric patterns,monochrome and colorful patterns,patterns and textures
505,visual perspectives and objects,screen door views,everyday objects and nature
