Neuron ID,Label 1,Label 2,Label 3
84,objects and animals in focus,objects and beings in focus,assorted objects and characters
339,nature and timepieces,nature and animals, 
469,monochrome objects,monochrome items,monochrome fashion and objects
326,objects with distinct colors,miscellaneous objects,objects with various colors
384,monochrome objects and architecture,objects or images,miscellaneous objects
1,various activities and objects,leisure and recreation activities,leisure activities
362,objects with contrasting colors,fashion and accessories,black and white accessories and objects
12,nature and animals,nature and wildlife, 
458,nature and scenery,nature scenes,nature and objects in colors
188,everyday household items,everyday objects and scenes,objects with different colors
495,scenes in barcelona,beach and urban scenes,beach and its elements
282,color schemes,assorted visual elements,observing surroundings
196,lighting and objects,blue and yellow objects with led bulbs,yellow and blue objects with led bulbs
330,variety of objects and activities,objects and activities,objects and activities in focus
92,colorful items and animals,everyday objects, 
412,transportation and accessories,transportation and objects, 
323,assorted objects and activities,various objects and activities,objects in various contexts
340,various visual elements,colors and objects,visual imagery and objects
160,black and white imagery,black and white objects and scenes,black and yellow objects
100,monochrome and colorful objects,objects and nature in black and white,objects and their surroundings
114,blue and purple visuals,blue and purple aesthetics,colorful aquatic and abstract scenes
66,objects and people in various settings,objects and people in scenes,people and objects in various settings
478,objects with light and dark contrast,objects and animals in various settings,monochrome objects and settings
379,nature and fruit,red nature and objects,nature elements
446,holiday and leisure activities,christmas and dogs outdoors,holiday and pet scenes
94,art and nature scenes,colorful objects and scenes,various art objects
47,miscellaneous objects and activities,objects and activities,everyday objects and activities
294,urban infrastructure and objects,urban technology and transportation,urban infrastructure and technology
149,urban scenery,urban cityscape,urban environment
163,assorted objects,assorted objects in nature,nature and objects
348,transportation and people,transportation and parking, 
335,colorful objects and animals in nature,nature and animals,various animals and objects in different settings
260,technology and aesthetics,various objects/items,brands and objects
123,patterns and objects in monochrome,black and white decor,monochrome and metallics
51,red and black activities,colors and activities,sports and nature
349,visual media and signage,entertainment-themed items,pop culture references
312,objects and activities in nature,outdoor activities and objects,nighttime and objects
381,various visual elements,various objects outdoors,asian-inspired objects and scenes
4,office supplies and equipment,monochrome objects and tools,black and white tools and objects
482,colorful objects and patterns,colorful household items,colorful home decor
283,colorful imagery,green-themed imagery,assorted visual scenes
111,animal and human sculptures,artistic depictions of men and animals,art and objects in nature
200,colorful animals and activities,tropical animals and activities,nature and animals
331,objects and people,assorted figures and scenes,objects in various settings
334,objects and people in different settings,objects in black and white,objects and people in scenes
87,colors,color triad,assorted items
465,miscellaneous scenes,random objects/scenes,assorted objects/scenes
145,urban and natural elements,clocks and nature,visual imagery
206,colorful objects and scenes,fruit and urban scenes,red and blue scenes with objects
271,assorted objects and animals,monochrome objects and animals with nature,monochrome and nature-themed objects
