Neuron ID,Label 1,Label 2,Label 3
0,black and white imagery with animals and objects,black and white nature scenes,monochrome nature and objects
3,objects and settings,objects with contrasting colors,objects and scenes
5,black and white imagery with sound,black and white imagery, 
17,objects with contrasting colors,objects with varied functions,objects in close-up view
23,green and yellow nature scenes,nature and technology,nature-inspired visuals
28,yellow-themed objects,yellow-themed items, 
50,visual displays,visual media elements,visual elements of a building
55,green and yellow imagery,greenery and activities,green-themed imagery
58,assorted visuals,various visuals,various visual elements
60,assorted objects and signs,objects in black and red,objects with musical association
63,diverse objects,colorful objects and scenes,assorted objects/activities
73,technology and objects,technology and transportation items,technology and transportation
74,office and home objects,indoor and outdoor objects,office and nature scenes
77,monochrome items,black and white accessories and objects,monochrome and accessories
81,summer-themed objects,colorful objects and nature,colors and nature imagery
83,green-themed objects and scenes,assorted objects and symbols,visual elements
90,pink and blue imagery,colorful objects and scenes,colorful and vibrant scenes
92,black and white fashion/accessories,time and fashion,time-themed items
104,objects and activities in various settings,assorted objects/scenes,objects in various settings
106,black and white objects with red accents,monochrome objects and designs,monochrome objects
110,everyday objects,various objects,various objects/items
121,cityscape with yellow accents,cityscape with yellow and red tones,cityscape and urban elements
129,purple-themed music performances,purple-themed music and visuals,purple-themed music and art
132,assorted objects and scenes,assorted objects and creatures,colors and activities
133,objects and surroundings,objects and nature,everyday objects
146,objects and scenes in red,assorted visual elements,various visual elements
147,colorful objects and patterns,colorful and patterned objects,colorful objects and backgrounds
148,nature elements,nature and animals,nature and home decor
149,monochromatic objects,monochrome design elements,monochrome objects
153,animals and their surroundings,animals and people in various settings,animals in various settings
154,green and animal-themed scenes,nature and animals,nature in green and red
158,objects in monochrome and nature,nature and objects,time and nature
162,monochrome technology and nature,black and white imagery,black and white visuals
171,monochrome and colorful transportation scenes,transportation and objects,transportation and people
179,monochrome imagery,visual art pieces,nature and objects in monochrome
181,black and white decor,monochrome interiors and objects,monochrome interiors and objects with pets
187,color-themed items,assorted items,diverse objects/entities
189,visual imagery,black and white visuals,various visual elements
190,objects and scenes,objects and backgrounds,monochrome objects and scenes
197,colorful objects and animals,graphic designs and patterns,assorted visual elements
198,black and white art,black and white aesthetics,assorted images
222,striped patterns and spaces,various scenes and objects,people and objects in various settings
227,pink-themed objects and people,pink-themed objects and scenes,pink and red objects
232,fashion and accessories,objects in black and silver,black and silver accessories/scenes
235,blue-themed nature and travel,blue-themed nature scenes,blue-themed nature and activity
236,colorful objects on display,assorted objects on surfaces,tabletop items and surroundings
237,black and white felines,leopard and jaguar imagery,leopard and jaguar wildlife
239,assorted visual elements,assorted objects and scenes, 
245,assorted objects and scenes,zebras and technology,zebra-themed items
252,red-themed designs,red-themed objects,black and red aesthetics
