Neuron ID,Label 1,Label 2,Label 3
26,nature and repetition,nature and animals,nature and wildlife
68,patterns and textures in nature and design,textures and patterns,textiles and architecture
115,peacock-inspired motifs,peacock and monkey motifs,peacock and monkey motifs
133,knitted and crocheted textiles,handmade clothing and textiles,knitted and crocheted items in various colors
201,diamond patterns and metal grill,monochrome and diamond motifs,monochrome and geometric patterns
204,dotted and colorful backgrounds,colorful backgrounds and patterns,patterned backgrounds in various colors
206,blue and white floral patterns,floral and patterned designs,floral and patterned textiles
223,zigzag and colorful patterns,patterns and objects,patterned designs
224,honeycomb and related textures,honeycomb and related items,hexagonal patterns
265,objects in surroundings,visual imagery,abstract scenes
272,colorful objects,colorful playful objects,colorful objects and people
318,patterns with holes,patterns and textures,perforated materials
329,animal confinement,animals in captivity,animals in confinement
350,patterns and textures,striped and textured interiors,various textures and colors
353,geometric designs,geometric patterns, 
364,patterned textiles and objects,design,patterned textiles
388,colorful patterns and playfulness,colorful patterns and textures, 
394,checkered and geometric items,checkered and geometric decor,patterns and textures
405,black and white accessories and animals,objects and animals in fashion,black and white accessories and animals
432,white and metal objects,household items,modern industrial design
441,metal and family scenes,metal and family scenes with polka dots,metallic and dotted themes
456,hexagonal patterns, , 
461,geometric patterns,geometric patterns and metal,black and white/green patterns and textures
475,multicolored and red-themed patterns,red and multicolored patterns,red-themed patterns and objects
487,metal and patterned wallpaper,monochrome patterns and textures,monochrome and geometric designs
508,textures and patterns, , 
518,domestic scenes,home and kitchen scenes,home interiors and food
520,geometric designs,geometric patterns,geometric patterns and textures
532,metal and puzzle-themed objects,metallic puzzles,metallic objects and puzzles
554,spider and web imagery,arachnid and objects,metallic and arachnid motifs
597,black and blue visuals,monochrome and color accents,monochromatic visuals
599,textile patterns,patterned textiles,patterned textiles
609,metallic and circular objects,metal objects and transportation,metallic objects and patterns
618,clothing and windows,clothing and windows, 
620,firearms and textiles,textures and firearms,textures and weapons
628,musical instruments and trains,transportation and patterns,urban art and patterns
644,objects with yellow and white,white and yellow objects,whimsical designs
676,various environments,various landscapes/scenes,various sceneries
718,animal groups,animal groups and movements,animal motifs and patterns
767,patterned surfaces and nature,checkered and striped patterns,checkered and striped patterns in nature and man-made objects
798,spiral staircases and metal pipes in buildings,spiral staircases and miscellaneous objects,spiral structures
839,everyday objects and scenes,home decor and nature,various scenes and objects
845,textures and patterns,patterns and textures,diamond-patterned surfaces
893,colorful and geometric patterns,zigzag and patterned designs,geometric patterns
910,indoor and outdoor activities,indoor and outdoor activities,various scenes and settings
934,black and white/green checkered pattern,black and white/green patterns,various patterns
950,outdoor scenes with animals and objects,outdoor scenes with animals and music,scenes of everyday life
951,various objects and scenes,monochromatic objects,visual objects and scenes
974,geometric patterns and textures,geometric patterns,patterns and textures
990,patterned backgrounds and people,patterns and people, 
