Neuron ID,Label 1,Label 2,Label 3
29,spiral and circular objects,circular objects/structures,objects and environments
50,green snakes and wildlife,snakes and nature,snakes and wildlife
125,fitness exercises,weightlifting exercises,fitness activities
128,printer and miscellaneous objects,printer and food scenes,printer and food imagery
162,bike parking,bicycle parking/arrangement,bicycles in various settings
183,aquarium with fish and plants,fish-related scenes,fish and fish tanks
311,solar panel installations,solar panels and structures,solar structures and buildings
323,circular and spiral patterns,circular and geometric patterns,geometric patterns and shapes
332,wooden furniture and animals,wooden furniture and animals, 
369,blue and water-themed objects,blue and yellow objects,colorful objects and scenes
383,uniformed people and animals,winter and uniforms,animals and people in uniform
494,marine and home decor,marine and holiday decor,marine-themed objects
562,winter activities,winter sports and scenery,winter activities and landscapes
582,radiac and stripes,radiac and textured materials,radiation and textures
600,school buses,yellow school buses,school transportation
619,objects with metal and plastic,objects and tools,objects with metal and time
667,accessories with knots or ties,small accessories and jewelry,accessories and jewelry
685,various animals and dogs,animals and music,animals and music
699,kitchenware in monochrome and silver,kitchen appliances and accessories,kitchenware
764,desserts and sweets,assorted desserts,desserts and cakes
864,people and their pets,pets and people, 
871,wooden furniture and fixtures,wooden furniture and structures,wooden furniture and tools
907,outdoor sports and scenery, , 
977,assorted accessories and objects,assorted items,fashion accessories and home decor
992,desert-themed objects,natural elements,natural outdoor elements
1041,knitted and crocheted textiles,textiles and fibers,textiles in various colors
1042,nature and man-made structures,nature and industry,various scenes in nature
1117,outdoor scenes with birds and animals,outdoor scenery with birds and animals,birds and nature scenes
1187,furniture and decor items,furniture and decor, 
1300,musical instruments and furniture,furniture and music,musical instruments and games
1306,household items,bathroom and baby supplies,bathroom and household items
1312,outdoor nature scenes,nature scenes,nature scenes with water and wildlife
1348,military personnel in action,military operations,military personnel in action
1456,household items and electronics,philips products and appliances,office equipment and objects
1465,objects and instruments,measurement tools and objects,close-up objects
1487,geometric shapes and food,blue-themed patterns and objects,assorted objects and structures
1525,indoor spaces and settings,indoor dining spaces,indoor seating areas
1553,red and blue objects/people with masks,variety of objects and people,ceramic dolphins and people
1653,bear-related imagery,bear-related scenes,bears in various settings
1704,interior design elements,interior and exterior spaces,different types of buildings
1841,interior design elements and animals,nature and animals,nature and architecture
1867,everyday objects, , 
1870,baseball and birds,baseball and birds, 
1892,food preparation,cutting and slicing food,food preparation
1954,various modes of transportation,transportation vehicles and scenery,transportation on water and air
1966,yarn and textiles,yarn and knitting accessories, 
2001,animals in captivity,animals in captivity,animals behind fences
2010,kitchenware and decor,kitchenware and decor,kitchen and home decor
2036,red-themed objects and spaces,interior design elements,various objects and scenes
2042,canine and avian imagery,dogs and animals,dogs and birds in scenes
