Neuron ID,Label 1,Label 2,Label 3
23,various patterns and objects,interior design elements,various household items
25,checkerboard patterns,checkered and polka dot patterns, 
27,striped patterns in various colors,various striped patterns, 
42,various objects in nature and society,various objects in nature,various objects in nature and society
48,roof and flooring textures/patterns,interior design elements,various patterns and textures
56,geometric and aquatic elements,geometric designs,monochrome and textured designs
58,home decor and furnishings,home decor items,honeycomb-inspired decor
67,monochrome textiles,black and white patterns,monochrome designs
78,monochrome patterns,monochrome patterns,black and white patterns
92,patterned rugs and hair dryer,monochrome and colorful patterns,geometric patterns
98,various patterns and textures,patterned rugs and textiles,patterned textiles
107,monochrome office decor,patterns and objects,monochrome decor and objects
124,textures and patterns,textures and patterns,metallic and patterned textures
130,industrial textures,patterns and textures in gray and black,industrial textures/patterns
147,corn in various forms/colors,corn-themed objects,corn-themed dishes
165,yellow and green patterns,yellow and white designs,yellow and white decor
174,grids and color charts, , 
188,honey and polka dots,polka dot and nature theme,bee and polka dots
224,corn and texture,textures and patterns,textures and surfaces
236,patterns and objects in black and white,patterns and nature,patterns and animals
245,brown and black textiles,textile patterns,neutral-colored textiles
285,blue and green imagery,blue and green nature,green and blue-themed imagery
286,various textured backgrounds,monochrome and textured backgrounds,monochrome and textured patterns
295,textures and patterns,patterns and textures, 
296,geometric patterns,patterned backgrounds,checkered and patterned backgrounds
297,beach and ocean themes,marine and beach motifs,beach and ocean scenes
320,grid-based designs,grid-based objects,grid patterns
338,geometric patterns,patterns and textures,various textures and patterns
350,striped patterns in various colors,striped patterns in various colors,various striped patterns
355,home decor and fashion,home decor and fashion items,household decor and accessories
358,yellow-themed objects,yellow objects,yellow objects/nature
361,nature-inspired items,nature and objects,textures and patterns
368,black and white stripes and images,black and white decor,black and white theme
379,textures and food,textures and food,food and textures
389,checkered and grid patterns,grid and checkered patterns with buildings,geometric designs
393,monochrome patterns and objects,brown and black geometric patterns,geometric patterns
404,checkered pattern and nature,checkered and natural motifs,checkered and natural patterns
410,blue and black grids,navy blue and square grids,grid patterns in blue and black
411,checkered and square patterns,checkered and patterned designs, 
412,polka dot patterns in pink and red/yellow,polka dot patterns in pink and red,polka dot patterns
418,stage and fruit imagery,stage performance and props,visual elements on table
426,colorful patterns,colorful holiday patterns,colorful patterns
429,grid and checkered patterns,various grid patterns,checkerboard/grid pattern
434,patterned backgrounds and objects,geometric patterns,geometric patterns in various colors
443,pink and purple patterns,pink and red patterns,colorful patterns
464,textile and art patterns,textile and pattern details,patterns and textures
467,pink and black patterns, , 
469,geometric patterns and textures,metal and patterned fences,patterns and fences
475,monochrome and geometric patterns,patterned textiles,monochrome patterns
505,object descriptions are not semantically related,window and objects,window accessories and objects
